id,resource_id,last_action_date,last_action_type,field_name,previous_value,replacement_value,updated_by
ede4c196-45d9-4339-8944-bad0e4ff3cee,1899600a-649c-11e6-8b77-86f30ca893d3,2016-08-25T08:31:03.916082+00:00,create,name,,Sanctuary Example City,Edafe Onerhime
916d18e4-d083-4b48-837a-06db0408a915,18996320-649c-11e6-8b77-86f30ca893d3,2016-08-25T08:31:03.916082+00:00,create,name,,Youth in Focus Example City,Edafe Onerhime
33d71a6f-a8c7-46f9-983b-1bffdff85672,1899673a-649c-11e6-8b77-86f30ca893d3,2016-08-25T08:31:03.916082+00:00,create,name,,Example City Food for Charities,Edafe Onerhime
a657aa1c-ce47-49ea-aa96-4907bd539841,1899683e-649c-11e6-8b77-86f30ca893d3,2016-08-25T08:31:03.916082+00:00,create,name,,Example City Family Project,Edafe Onerhime
3f9b85cb-393a-4d9e-8928-d377c4023228,1899691a-649c-11e6-8b77-86f30ca893d3,2016-08-25T08:31:03.916082+00:00,create,name,,Example City Silvers,Edafe Onerhime
45d80461-205a-4e4d-8811-c247beca403e,189969f6-649c-11e6-8b77-86f30ca893d3,2016-08-25T08:31:03.916082+00:00,create,name,,Example City Carnival Bay,Edafe Onerhime
c05565fd-7527-49d4-9616-5c5f1566792a,18996ac8-649c-11e6-8b77-86f30ca893d3,2016-08-25T08:31:03.916082+00:00,create,name,,Roz Bernstein Sample Org,Edafe Onerhime
3b7f80a9-a317-4bd7-91d4-42f8068111c9,18996b9a-649c-11e6-8b77-86f30ca893d3,2016-08-25T08:31:03.916082+00:00,create,name,,AP Example City,Edafe Onerhime
2381585d-a4ce-4e35-b1af-8f3ef044962c,18996c62-649c-11e6-8b77-86f30ca893d3,2016-08-25T08:31:03.916082+00:00,create,name,,Example House League of Friends,Edafe Onerhime
5fa799bb-00f8-4aa4-896a-93350f287a8a,18997068-649c-11e6-8b77-86f30ca893d3,2016-08-25T08:31:03.916082+00:00,create,name,,Example Cross Trust,Edafe Onerhime
8543f624-4d22-4570-bc34-899a38259ad9,18996ac8-649c-11e6-8b77-86f30ca893d3,2016-08-25T08:31:03.916082+00:00,create,alternate_name,,Roz Bernstein's,Edafe Onerhime
094bb32f-cc19-4465-a272-584d30060407,18997068-649c-11e6-8b77-86f30ca893d3,2016-08-25T08:31:03.916082+00:00,create,alternate_name,,The Cross Trust,Edafe Onerhime
05e88e0a-1765-4117-ada7-c4a26aaeaed4,1899600a-649c-11e6-8b77-86f30ca893d3,2016-08-25T08:31:03.916082+00:00,create,description,,Sanctuary assists homeless individuals find housing and employment.,Edafe Onerhime
861e8622-5785-4452-b051-daa968bef3b8,18996320-649c-11e6-8b77-86f30ca893d3,2016-08-25T08:31:03.916082+00:00,create,description,,Youth in Focus programs provide pathways for low-income young people to rebuild their lives and community through work and education.,Edafe Onerhime
4d15616f-f494-4cd3-901f-0cd8fe3db255,1899673a-649c-11e6-8b77-86f30ca893d3,2016-08-25T08:31:03.916082+00:00,create,description,,Example City Food for Charities acquires in-date food that would otherwise be wasted and works with local organisations to redistribute food to vulnerable communities.,Edafe Onerhime
3373bef1-0ee4-4db9-a03b-6e3fe750c8b3,1899683e-649c-11e6-8b77-86f30ca893d3,2016-08-25T08:31:03.916082+00:00,create,description,,The Example City Famly Project provides inclusive community based family therapy for the citizens of Example City.,Edafe Onerhime
47f7bd23-ebc1-4cb5-b521-c25d918d7a48,1899691a-649c-11e6-8b77-86f30ca893d3,2016-08-25T08:31:03.916082+00:00,create,description,,"Provision of services for older people in their homes to allow them to continue living in their communities with dignity. Serivices include: <ul>
  <li>Personal Care</li>
  <li>Cleaning</li>
  <li>Shopping</li>
</ul>",Edafe Onerhime
32de2f37-0681-4965-8685-718471bdce31,189969f6-649c-11e6-8b77-86f30ca893d3,2016-08-25T08:31:03.916082+00:00,create,description,,Example City Carnival Bay provides free and low-cost spaces for art therapy projects designed to help those with mental health needs.,Edafe Onerhime
e1d00f9b-6d0c-48bd-b334-6a1087d0dfd2,18996ac8-649c-11e6-8b77-86f30ca893d3,2016-08-25T08:31:03.916082+00:00,create,description,,"The charity's provides support for students and teachers in Example City on matters that interfere with education by providing meals, laundry, legal advice and other facilities to keep students learning and support teaching staff.",Edafe Onerhime
cf23bb9f-70f4-449c-9df5-46b26961744d,18996b9a-649c-11e6-8b77-86f30ca893d3,2016-08-25T08:31:03.916082+00:00,create,description,,"Associated Parks is part of the Example City Town Hall, providing access to green spaces within the city for therapeutic and heallthy living programs.",Edafe Onerhime
8ca8d974-5aba-48c4-b38f-32d32d0ecd22,18996c62-649c-11e6-8b77-86f30ca893d3,2016-08-25T08:31:03.916082+00:00,create,description,,Example House League of Friends provides hot meals at soup kitchens throughout Example City for anyone in need.,Edafe Onerhime
